,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9
ПКОрг,0.4568834318066768,-0.10046955668291872,-0.09084327564193703,-0.11362649187503544,-0.4462263211432161,-0.16268557742405407,-0.04928235230372809,0.728480401214232,-0.03609633708096838
ГлобИС,0.4830897701274851,-0.10954633929869698,-0.05197163699053151,-0.0609545865064474,-0.19934113736252224,-0.023547935582578422,-0.0868173833144665,-0.43179293364835575,0.7168916033595116
ИнтОрг,0.4846844547663035,-0.10238289512173475,-0.03388111576117556,-0.08383937951016283,-0.16917048659857878,-0.022439063066363885,-0.045621589195248266,-0.48157277791780906,-0.6952020681881207
ОргWS,0.4009850737571835,0.039504750468717854,0.059893197259167544,-0.26706238337086113,0.8085728773691615,-0.1304089345359452,-0.2512980406118292,0.16941376241384817,0.009618590868426343
ПКРаб,0.1183424378180711,0.17773861207287714,0.9593311401873926,0.06441860751070733,-0.09692498699850442,-0.08286261796723206,0.11572667541200886,0.01057535382333819,0.013148824714541643
ЭДО,0.3679610102967565,0.046489309579307164,-0.11208252526862926,0.674338250240533,0.22600818454005503,0.2945998794522365,0.49625587591982995,0.10484819039395742,0.004128549619951095
ПКДХ,0.09701139823071647,0.5771958941964155,-0.019283704433069544,-0.05062376006446614,-0.12391099785639526,0.6783139368435985,-0.4193382633472663,0.05504563211032971,-0.012677892917968317
ИнтДХ,0.056162581963332264,0.5434881083196154,-0.16270353459334197,-0.5003231388944048,-0.017709065235998446,-0.11645850869114373,0.6382636771598963,-0.05084603590118591,0.028787511761640433
ШПДДХ,0.014424596485345144,0.5509772145146324,-0.1568065454831398,0.43960705116311616,-0.05093849974145072,-0.6230098011086357,-0.2862067410354754,-0.07441425974058768,-0.013625867422920596
