Region,SubIndex_Org,SubIndex_Pop
Belgorod,1.6829675434382156,0.08571262391555973
Bryansk,0.9151557985754063,-1.8594621768102544
Vladimir,0.18912489670114538,-0.6264953403578395
Voronezh,2.5646441115971923,0.784672501745205
Ivanovo,1.6002812925809151,-1.5006593336526393
Kaluga,1.3018364376333762,-0.020049556852495532
Koatroma,-0.3645974149915197,-0.7454706836993483
Kursk,-0.8024594853874385,-0.06389719056628695
Lipetsk,1.0953290195012229,-1.119030311356887
Moscow (reg.),0.5366709174863314,2.5626653018627197
Orel,0.6827753758422928,-1.341503628183797
Ryazan,0.8680660406205686,-1.3926643666617602
Smolensk,1.6990406220837424,-0.9429171434961207
Tambov,2.104851913722392,0.29888316421519634
Tver,-1.5059660515207753,-0.5659400288232167
Tula,-0.35819002803393474,2.043176749775924
Yaroslavl,1.2889128760148445,-1.8514863167053257
Moscow (city),3.9825584407934502,2.740434989182563
Kareliya,1.6268093767131302,1.015813543469482
Komi,-0.24988086338202792,0.7131315820405897
Arkhangelsk,-0.0023526262966234424,-0.5838075450175221
Vologda,1.4463455697291705,-0.8526306275856538
Kaliningrad,1.1100828787855819,1.1159828584353573
Leningrad,2.2087166882027707,-0.257093495520556
Murmansk,0.5125580857303426,2.092219122734616
Novgorod,1.5910889018537917,-0.7861768302497281
Pskov,-0.24619593304784274,-1.5965180345157148
Saint-Petersburg (city),3.459873637201464,3.504423860110478
Adygheya,0.3253834268167925,-0.8125623003270546
Kalmykiya,-1.2554223509417102,0.6839943400285711
Krimea,2.371343556141103,1.444214756107555
Krasnodar,-0.18147385168741026,0.43722011512429443
Astrakhan,1.4760529300122962,1.0757507260373926
Volgograd,-2.7594791889023047,1.0306252324397978
Rostov,-1.5214003293013636,1.6757565427120806
Sivastopol (city),-5.129576708011881,3.3438612575154743
Daghestan,-6.831897090812698,-0.3150482453743491
Ingushetiya,4.671608224941351,-0.43762245292860924
Kabardino-Balkariya,-1.5260441426473665,0.5059314327793267
Karachaevo-Cherkesiya,0.3675735469551979,1.023920313503315
Noth.Osetiya-Alaniya,-1.765891102509912,3.1089239143259353
Chechen,-0.40086356183305516,-5.451708576727979
Stavropol,2.3954033665563124,0.022702038260146478
Bashkortostan,1.5573501094570672,0.19475128460664323
Mariy-El,-1.1114346755517313,-0.9027605436890866
Mordoviya,-3.0335044568851095,-1.685794774323998
Tatarstan,2.62683676953513,1.8409119127853744
Udmurtiya,-0.22469795588563823,-0.22164453602625953
Chuvashiya,1.063248336078693,-2.39998877821186
Perm,-0.11656789124108594,-0.8084124620585786
Kirov,-0.549881255591531,-2.5881956781932707
Nizhniy Novgorod,1.7670770966512375,-1.084003952827106
Orenburg,1.7421999140950195,1.4830511822564107
Penza,1.1917439445009304,-0.3757443163681324
Samara,-3.4661469395279783,1.6351563861773493
Saratov,-3.26656556302983,0.14210768148450045
Uliyanovsk,-0.49450879245242757,-2.267907248472816
Kurgan,-2.9153076376059004,-1.8959433739001583
Sverdlovsk,0.945975487909609,-0.6309582658182161
Tumen,-0.09738524974897007,2.705361314450702
Cheliabinsk,0.4336146633622465,0.03640309359485074
Altay (resp.),2.110134784448361,0.5187745779678565
Buryatiya,-4.478935646750085,1.1416512832538637
Tyva,-1.0240187408963584,1.7905655264890985
Khakassia,-0.8276675717441615,-1.2241603003555594
Altay,-0.9728006220897307,-1.1398194435217481
Zabaikalie,0.18619412306863378,-2.038848147194104
Krasnoyarsk,-0.311291067817568,-0.7353542117330718
Irkutsk,-0.6699473666603591,-1.327132811635311
Kemerovo,-1.3380456312211224,-0.9115108059162736
Novosibirsk,-2.729103215212563,-0.006669653413722076
Omsk,-2.4500492971976104,1.0574396188128636
Tomsk,-3.6946267919975946,-0.08380644859877914
Sakha (Yakutiya),-0.7834479353958232,0.501825984690168
Kamchatka,2.041329724336402,-0.2790561619557321
Primorie,-1.2959363759845912,1.2092776347611691
Habarovsk,1.4869906556076982,0.22858625073398856
Amur,-1.0235817839343162,0.02301489445767418
Magadan,0.24739566735704743,1.0991978438373629
Sakhalin,1.4179798400769121,0.8001460981781804
Jewish,-1.3316545786134233,-0.12645297126432012
Chukotka,0.2156711796279915,-1.8613304639683974
